	ANTIBIOTICS					
uuid	Chapter	Section	Table	TableSection		Notes
45e13826-aedb-48d0-baf6-2f06ff45017f	Antibiotics					
01933c56-dedf-4c1a-9191-d541819000d8		Clinical Antibiotic Guidelines				
c08eb351-0a9f-4abd-b089-8007003dfa8d			ACYCLOVIR IV/PO			
5680cb7e-e5e3-4eb9-a39f-4839c80210b7				Predictable Activity		
a0a1a568-e54d-43a3-b8cc-208f4359339c				Unpredictable Activity		
99ec4c0f-9768-44c5-90ca-4ea08c852408				No/InsufficientActivity		
d3c67e10-7920-4f1a-a399-d66d0f638d83				Indicated		
d5ea081f-cab0-4b0f-bb1c-906d228c0d05				Not Indicated		
4fa69703-3875-49b9-ac02-59e06e08584b			AMIKACIN			
8b5d46da-af2f-4dcd-b417-95e85247f6b0				Predictable Activity		
c51c065c-a746-4369-a2cc-8b268f878735				Unpredictable Activity		
dde488dc-6c4c-4e3a-886b-fc96800cf805				No/insufficient Activity		
680c7545-81ba-4818-8346-3769435668d1				Indicated		
5829455e-46bf-411b-aecf-65e369285569				Not Indicated		
38170e67-c0c9-4f7c-aee2-cece7bd8aa48			AMINOGLYCOSIDES, IMPLANTATION IN BONE CEMENT			
c88cb334-7226-47f7-9d2b-9551358ce4b7				Guidelines		
9f3700fc-f05c-4502-8fc1-b0a721bdb9b1			AMOXICILLIN-CLAVULANATE			
32e3913b-9f3a-49e9-b93e-ed476a148758				Predictable Activity		
468c1002-8fd3-4e50-b531-a0759a8e3e17				Unpredictable Activity		
8ae5dded-bd6f-4bbd-91c8-fdac8a72b1d7				No/insufficient Activity		
9cbac1c5-385d-42a8-b9f4-a1b381863bf7				Indicated		
8dad0e94-8f12-4796-8b62-433863097c39				Not Indicated		
bf1d8db1-7243-4139-90b9-60f10c2e4953			AMPHOTERICIN, LIPID-COMPLEXED			
c61a4721-833d-4d23-828b-b3e5c56f5b71				Criteria for Lipid-Complexed Amphotericin B		
3d27d055-90dc-431e-8749-1345d0c93d4e			AZITHROMYCIN IV/PO			
22ed603a-3560-45a7-a4ae-d7cb3d4eaaec				Predictable Activity		
fdac2dd9-2a39-4127-9988-e756cbc9e5ec				Unpredictable Activity		
d7ba4313-437c-44a1-b5ee-0ae5d99df851				No/insufficient Activity		
68a318fe-d0fa-4eed-9065-b9bbee418892				Indicated		
c6f623fd-7f29-454d-ad36-b4c057de5119				Not Indicated		
7a0fd527-3afd-4f57-9419-1d56eaf17110			CASPOFUNGIN IV			
452e8dc1-5c2e-4a7f-aae7-e2b4ddecb15a				Predictable Activity		
23755df6-1a20-4bde-9733-91d788b6eb3b				Unpredictable Activity		
bc033bd2-7be5-4434-bbf9-09df3e913469				No/insufficient Activity		
d0c626e3-3cc7-4f38-815e-9e514798b1b9				Indicated		
93095614-646a-4287-b96e-76d1077e4c26				Not Indicated		
7e9ef935-6922-46a1-98fb-46e6500ca329			CEFACLOR			
b28bd0e0-4398-4335-883f-60f4c38d3830				Predictable Activity		
90c41f9f-83f9-497c-b788-a1968985ccc9				Unpredictable Activity		
a4088919-c4fa-4fbe-a21a-014902573b4f				No/insufficient Activity		
dc483e17-cb4d-4d6f-a905-95a87a6987f0				Indicated		
692f31d4-57b9-4f15-8a82-81ca0de1a026				Not Indicated		
4b6ea67d-2a64-45d8-b251-ea8b06dd337e			CEFAZOLIN			
528aa58e-ba33-45e7-83dc-5de8c0ba3878				Predictable Activity		
e919f992-b121-4179-94fa-5fa66ddf3384				Unpredictable Activity		
9a518dd1-b6be-480e-b16d-8684a5daf57d				No/insufficient Activity		
b49375c4-d539-4be4-9d33-2830979e4784				Indicated		
31d31d5b-c2a4-4c6c-935d-7ba2860debe7				Not Indicated		
abb02794-f943-4bd5-bc24-b4fa1f072e54			CEFEMPIME			
5b74d4bb-71ce-48f7-82eb-c2fb81c0146f				Predictable Activity		
604219a2-3de3-4485-83f3-aab88691b23b				Unpredictable Activity		
ad43bd8a-27da-4eee-807e-d2d118ec19fb				No/insufficient Activity		
71342ebc-bb1e-4402-ad3c-9c2ba4c8dbdc				Indicated		
cd87a25c-8805-40c9-8c89-306477d34097				Not Indicated		
a880ceb7-8373-4be4-84c4-91d63dcfe7cb			CEFIXIME			
8b58439f-e64d-4621-88ad-8d75f8462ba7				Predictable Activity		
1ffd0691-feb7-4147-ad3d-27cf102e7595				Unpredictable Activity		
459c6eb7-eece-4151-a847-1b831c4efd69				No/insufficient Activity		
61bbaac0-d1ec-4d66-9d2e-3845cd61b3e1				Indicated		
4d14de0f-fff6-4a3f-be93-9d89b329104c				Not Indicated		
15d6f93d-b314-4f25-b346-7989fa2e584c			CEFOTAXIME			
43f9c58e-8741-4b64-a796-a96818eaabbe				Predictable Activity		
0d86ba62-4fa0-4db4-9161-c205b9cd060e				Unpredictable Activity		
53bae762-258d-4037-8759-50ce44c93391				No/insufficient Activity		
52893a15-2670-412e-b94b-756e4bf30d32				Indicated		
abdfb562-ba7b-4353-ada9-f464c30187aa				Not Indicated		
592b2f0d-eb8d-4bb0-919a-bcf3ca73c62c			CEFPROZIL			
e0e2a5c2-482f-43c9-9f07-7384b99421c8				Predictable Activity		
f6962b16-7b5a-457c-a253-3042a9e81ccd				Unpredictable Activity		
02a433f5-9d1f-4038-a418-3aa0b47db3e8				No/insufficient Activity		
5f81665a-7854-4e78-89fd-0138d2dbb801				Indicated		
949fde36-e749-428f-a51f-22428e3ef936				Not Indicated		
2f76bbd9-588d-4b2c-b8f8-b1061b7959c9			CEFTAZIDIME			
0459e252-1812-4e09-a10f-a4723d72eb5b				Predictable Activity		
a914ec67-1eb1-460f-a3af-c74c3e55ea4b				Unpredictable Activity		
50103e60-8d61-4d53-90b2-f79f45bfda07				No/insufficient Activity		
df62e4c9-b3f6-4f6f-b54f-12f976be0ff2				Indicated		
43127573-e4ec-4620-b76c-bcf49e8dbbef				Not Indicated		
ef856e42-48c4-4dc1-9519-8aa7cd5b98fa			CEFTRIAXONE			
6ceae9ec-4592-478b-9db9-6764e5a1b95d				Predictable Activity		
ef440034-aff1-4565-8a3a-37e2c8f8556e				Unpredictable Activity		
fff00f6a-f0ce-41bc-8569-37970c453680				No/insufficient Activity		
f4eda4bf-4c01-4c96-a1fa-c8d35f5aa7dc				Indicated		
ac3b4e9a-2888-4a57-be94-d1ff0da38e8c				Not Indicated		
b67b92ff-30ce-4a1a-86a0-8a4db07a9eb9			CEFUROXIME AXETIL			
47152106-3b78-45bb-87e2-467a99239ec6				Predictable Activity		
c81dee9b-f31b-4602-a7b0-f02a5e8440e2				Unpredictable Activity		
891564b5-ce94-43d1-8018-7d1e1d5d6453				No/insufficient Activity		
7fbe7ba2-7d98-45bf-bfc7-a87a9e72408f				Indicated		
85c39ef7-2f20-4748-8d36-3398b7bfd001				Not Indicated		
cdc0565c-7ae3-40d4-b8c5-bfd7294b3e00			CEFUROXIME IV			
cecbab6e-9009-4974-886a-6037daa6df26				Predictable Activity		
76b79f67-69ba-4e9e-8fed-88c9ae7f88ef				Unpredictable Activity		
c0626a4a-2205-4c7a-8b7a-a4dbeb61a1cb				No/insufficient Activity		
ef7a8f43-10d5-4f23-865c-540a0ae38c08				Indicated		
12f249a3-ab74-4717-9e48-33caf8688535				Not Indicated		
29f79341-ce83-456d-9bdb-90fec56a7e3b			CEPHALEXIN			
be21ce68-16b4-4d96-aba4-ed2d418ee907				Predictable Activity		
4f29b156-cd94-4652-b293-b6364d3988ce				Unpredictable Activity		
ec07992b-151c-4aeb-80a5-296a6f6ad160				No/insufficient Activity		
b024344a-0f6d-47c6-930e-51a807d687f0				Indicated		
6ab70bcc-440c-4fad-a18d-92c5dade8018				Not Indicated		
011b16c1-513d-479c-bb2a-122102debc42			CIPROFLOXACIN IV			
77d8c47b-fe24-4a0e-9789-699c455d2f46				Predictable Activity		
f0421810-c7f2-461b-bf42-429085f36d02				Unpredictable Activity		
547fa93e-5867-4e29-86fa-dfd229b7f37d				No/insufficient Activity		
c37d27b9-fe6c-4625-b436-12821b843a69				Indicated		
3072e000-ddb8-4b92-9323-17ac41beb188				Not Indicated		
1258239f-e7c4-4446-9527-9f321fa728a9			CIPROFLOXACIN PO			
8525dd37-2692-41b1-a60a-b30ebfda7821				Predictable Activity		
b02b8bde-110b-4651-9741-0e496b4cddc6				Unpredictable Activity		
edea4d6c-63c1-4b43-8b77-a6d700bc3ca5				No/insufficient Activity		
d3b3d71c-2235-468b-9f21-25696ab2cd73				Indicated		
8a314a0e-5c95-4b29-a1a2-ea4fd4787035				Not Indicated		
23f9b32c-c754-4902-94df-38a8960d454d			CLARITHROMYCIN			
29a368d1-eb34-494a-bc93-b0c506ce4daf				Predictable Activity		
18e11026-6683-4bd4-9bbf-6d9440986949				Unpredictable Activity		
