	ANTIBIOTICS					
uuid	Chapter	Section	Table	TableRow	TableCell	
45e13826-aedb-48d0-baf6-2f06ff45017f	Antibiotics					
402973d1-75a7-4315-99fb-8b7f2065eeaf		Pharmacodynamics of Antimicrobials				
5c75848a-bf64-45e5-93fe-670e8790a13c			<blank>			
bd5458a1-6019-4e7b-ba2d-60cbb09c1cdf				(Header row)		
0a01099e-5010-4d3c-b7a3-b78e0f682ce5					T > MIC	
0c04ba89-aad6-4acb-a2eb-d9c0132ba781					Cmax:MIC	
8fdacb04-3f15-447c-b031-dc32001c2a01					AUC24:MIC	
0b2414bf-c1d5-467b-953f-908dd28c2c1d				(Header row)		
d402f84f-b139-49ad-a2e5-b1eced852809					Time-dependent	
0e572b55-be2a-44de-ba84-41eb8fa90aac					Concentration-dependent	
4ec6146e-8a3f-40c0-801d-07d50c0805bf					Dosing	
ba3f673a-d741-45ce-9fc1-d0b86a44da07				(Data row)		
9433c0e7-f539-4649-b91d-a27680e2f435					Penicillins	
e25ab65c-58f6-4eb3-94b6-ff67e8cb70ed					Aminoglycosides (AG)	
d09e8a07-1d64-45aa-8b99-990a0687ce03					Flouroquinolones	
