	ANTIBIOTICS							
uuid	Chapter	Section	Category	Subcategory				
45e13826-aedb-48d0-baf6-2f06ff45017f	Antibiotics							
d8eb7ab6-038f-43c5-8780-5cd50a27b983		Dosing Guides and Daily Costs						
66a8dd87-98a7-4886-8d91-ab0d1e5457d8			Adult					
a9845d88-f858-4384-9887-284488f38242				Penicillins				
412a4973-e287-4fe1-ab8b-42b6500b110b				Carbapenems				
1a1517f6-5d6d-4d2f-9e69-6e89c10dc8a0				Cephalosporins				
5226ad5f-f593-4aed-8441-d8e230795ac3				Aminoglycosides				
627eeb1f-7402-4560-86b3-82283925105e				Macrolides / Ketolides				
bbd1392e-8f21-4ac0-916a-aacef2c6d3e1				Quinolones				
64dd39f7-9288-45ca-9cec-d07162f28782				Tetracyclines				
ae85ad16-2ac5-410f-aeb0-9fa5b34def02				Other				
036d12ca-2ae8-4d47-b81e-2b5a8c953d42				Antiviral				
278add3e-72fd-4ac8-a382-56ea46e4dc0e				Antifungal				
a99f114d-4bce-4389-922c-4396d1894c14			Paediatric					
22ce4a40-de25-4cda-b4a7-e8b724101951				Penicillins				
6e917652-b0ae-432a-b3cd-98127b53fd69				Carbapenems				
223658f3-0427-47c3-a194-bb50e7535bed				Cephalosporins				
1c9b30c0-2f45-4b69-b032-308b0e3113cf				Aminoglycosides				
6a77f460-8713-4309-b355-49f21df84c4d				Macrolides				
fdcd7dc2-8961-4092-b593-6af2e3873fd4				Other				
3eae10b5-8ab1-423e-afaa-5d243a8c963d				Antiviral				
4b474af9-93d8-4e08-b905-990cf8621bb7				Antifungal				
