	ANTIBIOTICS								
uuid	Chapter	Section	Subsection	Topic	Table	TableRow	TableCell	TableSection	TableRow
45e13826-aedb-48d0-baf6-2f06ff45017f	Antibiotics								
5b51a8e7-8003-4f52-b038-7f8d4917de8b		B-lactam allergy							
e11afc50-d0e3-4b4a-98fd-1f8ca19ae9cc			Penicillin Allergy						
a6f971dd-e13e-4a55-b8af-07012a911e73				Incidence					
9134e294-9605-4f38-913b-8815b8c84720				History of Penicillin Allergy					
7f85376d-b9f2-4c37-93a1-bb2be5cb7d07				Classification of Penicillin Allergic Reactions					
ac363f86-cb2a-4437-b796-ed94de7da0ca					<blank>				
d6d002d5-2d89-41d6-8268-2a206a6e0b8d						(Header)			
b1cf721a-00f0-4e11-84a0-78f1d9099ec4							Type of Reaction		
82b1f2de-09ea-42b8-be44-6e2f7505f0a2							Clinical Manifestations		
2a28ed46-bf99-4990-8693-f0b19740868f							Usual Onset		
ce64a5b9-d50a-4dfd-9397-c41258d698a2								<blank>	
28844e13-5176-4081-9f25-555de4259de0									I Immediate
8af5228d-3c1a-4dc7-bc14-db30eb98c2b9									II Cytotoxic
31bd4300-f70c-4ef2-ae79-e3f1db6ec8ef									III Immune Complex
5a1ce759-3b7c-4298-bc60-884df940e28c									IV T-cell mediated
ac98bdd6-fcf7-42ba-98d0-b0f33b69c65c				Risk Factors for Penicillin Allergy					
5d4267b5-fc0b-4edd-8012-9b703497d079				Cross Reactivity					
d38bf2ea-1d43-487e-b25d-1e16c2c3290a				Management of B-Lactam Allergy					
1b612638-9725-437e-9050-94d76609a282				Penicillin Skin Testing					
5d26cc88-9c90-4574-8887-c4e4f0d24535				Desensitization					
