TREATMENT RECOMMENDATIONS										
Chapter	Section	Category	Sub Category	Infection	Infection Overview	Presentation	Presentation Description	Presentation Overview	NOTES	Pathogen
Treatment Recommendations										
	Recommended Empiric Therapy of Selected Infections - Paediatrics									
		Skin & Soft Tissue								
				Impetigo						
						SINGLE PRESENTATION				
				Folliculitis / Furunculosis						
						Normal				
						Whirlpool / Hot Tub				
				Recurrent Furunculosis						
						SINGLE PRESENTATION				
				Carbuncles						
						SINGLE PRESENTATION				
				MSRA nasal carriage						
						SINGLE PRESENTATION				
				Vesicular lesions						
						Chickenpox - Immunocompetent				
				Zoster (shingles) 						
						Zoster (Shingles) -  Immunocompetent				
						Zoster (Shingles) -  Immunocompromised				
						Mucocutaneous -  Immunocompetent Primary (gingivo-stomatitis)				
						Mucocutaneous -  Immunocompetent Recurrent (fever blisters, cold sores)				
						Mucocutaneous -  Immunocompromised				
				Cellulitis						
						Neonates				
						Omphalitis				
						Periorbital				
						Orbital				
						Facial (includes erysipelas)				
						Extremities				
				Peri-rectal cellulitis / abscess						
						SINGLE PRESENTATION				
				Lymphadenitis						
						Acute				
						Chronic				
						Generalized				
				Animal Bites						
						Cats				
						Dogs				
				Human Bites						
						SINGLE PRESENTATION				
				Scabies						
						SINGLE PRESENTATION				
				Lice						
						SINGLE PRESENTATION				
				Post-operative wounds						
						Involving trunk, neck, head, extremity				
						Involving perineum, GI tract, femal genital tract, axilla				
						Burn wound				
				Rapidly progressive skin / soft tissue infections						
						SINGLE PRESENTATION				
		Bone & Joint								
				Osteomyelitis						
						Neonates				
						Children				
						with sickle cell anemia				
						Post-operative				
						Post-operative with spinal rods				
						Post-operative mediastinitis / sternotomy				
						Post-nail puncture of foot				
				Septic arthritis						
						Neonates				
						Children				
						Children - sexually active				
				Septic bursitis						
						SINGLE PRESENTATION				
				Pharyngitis						
						Acute				
						Non-responders (after 72 hours of therapy)				
						Early relapse (2-7 days post-therapy)				
						Late relapse or Recurrent				
						Asymptomatic carrier				
										
		Respiratory								
				Jugular Vein Septic Phlebitis (Lemierre's Syndrome)						
						SINGLE PRESENTATION				
				Parapharyngeal space infections (Ludwig's angina)						
						Odontogenic				
				Retropharyngeal abscess						
						SINGLE PRESENTATION				
				Laryngitis						
						SINGLE PRESENTATION				
				Rhinitis						
						SINGLE PRESENTATION				
				Otitis Media						
						AOM - healty child				
						AOM - failure of first line agents				
						AOM - failure of second line agents				
						AOM - complicated				
						AOM - recurrent				
						Otitis medial with effusion (OME)				
				Otitis Externa						
						Swimmer's Ear				
						Invasive Otitis Externa				
				Whooping Cough						
						SINGLE PRESENTATION				
				Epiglottitis						
						SINGLE PRESENTATION				
				Croup						
						SINGLE PRESENTATION				
				Bacterial trachetitis						
						SINGLE PRESENTATION				
				Bronchitis						
						SINGLE PRESENTATION				
				Brohchiolitis						
						SINGLE PRESENTATION				
				Sinusitis						
						Acute 				
						Failure of first line agents				
						Hospital acquired				
				Cystic Fibrosis exacerbation						
						SINGLE PRESENTATION				
				Pneumonia						
						Neonates < 1 month				
						Infants 1 - 3 months				
				Community acquired pneumonia (CAP)						
						> 3 months - 5 years				
						Children > 5 years				
				Influenza						
						SINGLE PRESENTATION				
				Hospital-acquired pneumonia (HAP)						
						Early onset (² 4 days hospitalization)				
						Late onset (> 4 days hospitalization)				
						Late onset - aspiration				
						Late onset				
				Ventilator associated pneumonia (VAP)						
						² 7 days mechanical ventilation and no prior broad spectrum antibiotics				
						> 7 days of mechanical ventailation and / or prior broad spectrum antibiotics				
				Aspiration pneumonitis						
						SINGLE PRESENTATION				
				Aspriation pneumonia						
						Community acquired				
						Hospital acquired				
				Lung abscess						
						SINGLE PRESENTATION				
				Empyema						
										
		Gastrointestinal								
				Gastroenteritis						
						Mild - moderate				
						Severe				
				Travellers' diarrhea						
						Mild				
						Severe				
				Clostridium difficile-associated diarrhea (CDAD)						
						Mild				
						Acute				
						Severe / toxic megacolon				
						Recurrence				
				Necrotizing enterocolitis (NEC)						
						SINGLE PRESENTATION				
				Appendicitis						
						SINGLE PRESENTATION				
