	TREATMENT RECOMMENDATIONS					
uuid	Chapter	Section	Category	Sub Category	Infection	Presentation
f92fec3a-379d-41ef-a981-5ddf9c9a9f0e	Treatment Recommendations					
c0ecedc1-70cf-4422-b998-7e5f2bb986b1		Recommended Empiric Therapy of Selected Infections - Paediatrics				
e39eb73c-9eec-4940-b732-80d39911028c			Skin & Soft Tissue			
e6af9869-aca3-4347-a656-2c5f845401ae					Impetigo	
18f61d4b-b8b9-476e-a9be-d8cf83c5f178						SINGLE PRESENTATION
d27e6052-051c-4719-b975-e41762ed2735					Folliculitis / Furunculosis	
b0bdce9e-6357-41f4-8f55-6e1515c1eaa9						Normal
12d4308c-88d6-49c7-8411-e14a1ac7a7dd						Whirlpool / Hot Tub
ae09d681-164d-4992-a6c0-132868918ea1					Recurrent Furunculosis	
3036eb83-c8a6-4232-9e27-48890077c245						SINGLE PRESENTATION
39e0cdb7-70de-48d6-9339-026f7af59555					Carbuncles	
dffaaa2b-b0eb-43de-ae6a-8d83edbe117d						SINGLE PRESENTATION
d23f5031-e7f0-4eb8-9db8-73b1b0031099					MSRA nasal carriage	
87350325-6abf-4d62-855c-1f6d20e29edf						SINGLE PRESENTATION
5ce93aff-137f-487b-8f8a-1e9076acc8cb					Vesicular lesions	
220a6876-19c5-4a6c-96ee-a5dff8f36214						Chickenpox - Immunocompetent
10dce9db-6b5a-4249-b156-c86b18635852					Zoster (shingles) 	
65e96458-0133-4e10-9dab-cba9e5f1991e						Zoster (Shingles) -  Immunocompetent
3e3d6b21-6709-413e-9a7a-e62b94a0302f						Zoster (Shingles) -  Immunocompromised
8bc7e8c9-0aad-4031-8bd6-2d913a2205eb						Mucocutaneous -  Immunocompetent Primary (gingivo-stomatitis)
2a559b25-de56-4f01-ae2f-4fbfd1ff7fe1						Mucocutaneous -  Immunocompetent Recurrent (fever blisters, cold sores)
f950227a-0004-4511-b7dd-8338b33e17f2						Mucocutaneous -  Immunocompromised
56e49599-88bd-4238-809d-1327c256d317					Cellulitis	
0344e88c-ec26-4fac-aec0-069bd2d76da2						Neonates
a9cdd56f-c2a3-4bfd-b92a-4329484250dd						Omphalitis
380a4517-2a61-42ac-83da-1d5f994fb3c7						Periorbital
ddc3c48b-1c16-48b6-9391-29b6ff641d84						Orbital
39479cad-fd71-4b2c-8e28-b6c36f92dbf0						Facial (includes erysipelas)
d5357387-e28b-4a20-947f-a7786cf06962						Extremities
794ffcbf-2890-4968-b4d4-9fdd9093d806					Peri-rectal cellulitis / abscess	
25df6bb7-dce5-42a8-a03e-b1ed01f31117						SINGLE PRESENTATION
399dfd91-5d62-4bb0-95ac-d9d657decf08					Lymphadenitis	
d2e99765-d683-4451-a13e-c49bf3e1a97f						Acute
858c447d-de70-44d2-a486-b29919729c32						Chronic
18eaaa45-7d62-44f5-ac20-cd32ed402ba5						Generalized
49f564bb-a920-478d-884e-50e7a50b9cf7					Animal Bites	
2e12c41f-2b43-420b-8f0a-542e12e2743a						Cats
8c0874ab-cf05-4f78-ad9a-36d24511102f						Dogs
1f415ab7-b561-4846-8836-bf76c02a1571					Human Bites	
cb142166-d70f-4187-b827-d777606b4f02						SINGLE PRESENTATION
9dd77e65-3c1f-435c-978a-29db5bcb9f6d					Scabies	
b6163402-e7e7-486a-98ae-b61e9a26b976						SINGLE PRESENTATION
4457428f-d23d-479f-ba19-564dcc85b32c					Lice	
7688f1c8-4b09-41b6-803c-9e3614c0b13c						SINGLE PRESENTATION
756d4a48-1053-477e-bfcf-6436b4325548					Post-operative wounds	
cd6d95e5-d95b-4a32-b064-d7cb0f892891						Involving trunk, neck, head, extremity
9cf083e4-d5c6-4d0c-889a-95e81c1ce933						Involving perineum, GI tract, femal genital tract, axilla
2427238c-0cf7-4f4c-9b90-91d77350e54b						Burn wound
0a3dae61-82b7-4df4-8b9f-863e5c8d09ac					Rapidly progressive skin / soft tissue infections	
64c567d6-75da-456f-8934-53e7be2573b7						SINGLE PRESENTATION
f339d77c-fdf1-4b7b-8af8-80a700640fcc			Bone & Joint			
0ae41445-722c-48b5-b5fa-9c59a9c8b0df					Osteomyelitis	
e473d798-8453-4c4c-9c3c-7c69f2013d7f						Neonates
93f3f723-2829-455c-a86a-4c1877925ba5						Children
0cc90b9b-607f-4cc1-aba5-ae31e95b305a						with sickle cell anemia
c5d8bd9b-1ab0-44f2-8be5-02da0d89b772						Post-operative
5094878b-0fcd-4367-ad73-37221f879cea						Post-operative with spinal rods
3739bdd6-b765-465d-927a-8f2d8a91cb29						Post-operative mediastinitis / sternotomy
1b95b0d8-548c-405c-9462-48c702efb664						Post-nail puncture of foot
61fcd838-c9e7-4968-b0d2-b3713fdcef60					Septic arthritis	
db58df84-cedf-4644-a649-857681d81e0c						Neonates
042e0e6b-95ae-4bdf-9f76-a28a0ba4b65a						Children
d1b96d5a-7f40-4e92-8f60-018627596113						Children - sexually active
c96e75b5-ec7a-4bbc-bbfa-2257c5a6c360					Septic bursitis	
fcbf3c05-5770-4a44-9e8e-a5d6ec00d228						SINGLE PRESENTATION
a55e8e97-16cf-4074-ae98-26627bb25143					Pharyngitis	
7ab5629e-cad9-46c8-9793-6ee70fe7a318						Acute
27bbd262-571b-4bb3-91e8-d1e3c11fc039						Non-responders (after 72 hours of therapy)
36ab3cb5-c5ce-4a2f-8928-5437d4bfaba7						Early relapse (2-7 days post-therapy)
c612a6c9-6476-4929-b17e-780ff6fcc55e						Late relapse or Recurrent
d3e12811-d6c7-4068-b8c8-a5703b0bd5f2						Asymptomatic carrier
7a192d89-d5f0-4f8f-9707-5e3562365d3a						
5edf57a0-2659-43a1-98ee-70a2c95fc23d			Respiratory			
b21c2ca6-12ba-43ee-80ca-ceb2715f8a6d					Jugular Vein Septic Phlebitis (Lemierre's Syndrome)	
d5560111-539d-4803-ada8-a1462455e13a						SINGLE PRESENTATION
caaf0679-c7b4-45be-92f8-0885d6171986					Parapharyngeal space infections (Ludwig's angina)	
dc7f9ab1-2cdc-4cdf-aac8-f43185b2714f						Odontogenic
89001e6f-0892-4e94-ba26-c6e7532dde8f					Retropharyngeal abscess	
0c97afc9-0f40-41c5-a405-bdbfcff9a1ce						SINGLE PRESENTATION
bd3e4b1f-5d2c-456e-85c4-e154d49b0bd0					Laryngitis	
f6703fc0-a17e-4fed-87b8-50a878db9431						SINGLE PRESENTATION
671386aa-58d1-4cf7-b3e8-7e6ef893be42					Rhinitis	
17703399-3888-44f0-86f2-a3caee0c066c						SINGLE PRESENTATION
47033c89-dd4a-4235-bdca-3293a3890625					Otitis Media	
7371fdee-cc0b-4bc9-9aa1-01b1e26f2611						AOM - healty child
9405f22a-a7a8-4a51-97e9-34dc177738ba						AOM - failure of first line agents
b8ace670-45f4-4b40-8e36-9962eebe9551						AOM - failure of second line agents
7338af7a-80e7-4260-86b6-6bad0065b97d						AOM - complicated
5d47aeca-e386-4722-ad39-3bf867c44926						AOM - recurrent
14d369c5-cdb7-48ea-973a-62da6afbb066						Otitis medial with effusion (OME)
643bbbfa-14be-47c4-9d3f-bee72299ebad					Otitis Externa	
df8246d5-9946-453c-9b82-60f4c0edc6f1						Swimmer's Ear
3c75ce0c-4a0d-43a9-93b9-0e26c6eda835						Invasive Otitis Externa
7cb62e5d-a998-47b6-a305-2abf0769150a					Whooping Cough	
b22838ac-35f2-48af-a842-d8f8db126f16						SINGLE PRESENTATION
4288c839-0fc0-4581-85b1-cc84e9608324					Epiglottitis	
2869005c-b487-4e44-b43c-365a7ab09b09						SINGLE PRESENTATION
72fed31a-b2d2-4228-a18e-5c07324daab7					Croup	
d310de16-3901-49b0-b690-52b05918a425						SINGLE PRESENTATION
2f50fd9b-d341-4160-b438-85612b1512be					Bacterial trachetitis	
d3e700c1-ecaa-437d-90cd-5b5bb61fba37						SINGLE PRESENTATION
0616c1bf-d8f0-4656-97f5-a57c1fa26a40					Bronchitis	
3603c49e-cbda-4a9e-a33b-f770a0740666						SINGLE PRESENTATION
1eee056e-9d59-4aa3-bb9f-796e01cf328e					Brohchiolitis	
4cfe0331-44fb-45a4-94ae-18b11c0c3f4b						SINGLE PRESENTATION
83ce654d-74d3-4022-a5df-dec522c92e50					Sinusitis	
d4a94896-18f2-448d-bcad-c168744fd2ee						Acute 
e7739040-9dfc-4064-a411-8cf3d1f58ff1						Failure of first line agents
cfc99277-d708-45cd-a7f7-7a3cbfde30c6						Hospital acquired
cd372c4b-a61e-44e1-98ed-3e2d0c9c2e16					Cystic Fibrosis exacerbation	
321b712d-a783-4891-a228-f59e4cdadc7a						SINGLE PRESENTATION
7925fb93-e2a1-4d57-8aad-ec35b40674bc					Pneumonia	
ba0a40e8-dac2-4812-8618-9f774c1965c2						Neonates < 1 month
dc836c79-7586-4b52-9240-e059cfe34abe						Infants 1 - 3 months
800505df-b636-4c60-aeba-6407affff7f4					Community acquired pneumonia (CAP)	
757bf84c-c7c9-4a54-8513-03f22a1b9762						> 3 months - 5 years
023875a8-ec7d-448f-a527-0d60583db6c1						Children > 5 years
0374d0a0-ffc8-4493-868b-2f3857dea074					Influenza	
5db908e7-3660-4ba3-99cd-4cc1962ac62d						SINGLE PRESENTATION
f32e403d-37fa-4483-b486-90b6159e4fb7					Hospital-acquired pneumonia (HAP)	
71b66ab2-5df7-4882-99c3-e2fae0469b06						Early onset (² 4 days hospitalization)
6a9fd058-1524-4cc6-84a7-39e6771fd837						Late onset (> 4 days hospitalization)
a22ff0b2-d167-4ceb-9b37-2830515655f7						Late onset - aspiration
242d6eca-6687-4bbc-8179-cba1c33d1517						Late onset
2e2fca9c-2cbf-43f6-bd2f-72225a71074e					Ventilator associated pneumonia (VAP)	
b1d69cc6-dbfb-48d7-a1d6-f86a62f89361						² 7 days mechanical ventilation and no prior broad spectrum antibiotics
4267e393-c2e0-48e5-b41c-f7177d426b91						> 7 days of mechanical ventailation and / or prior broad spectrum antibiotics
988a314e-81e8-4de5-939d-1d986af74eb9					Aspiration pneumonitis	
4a4470ec-a908-4d19-b9a7-62209204bd64						SINGLE PRESENTATION
618c1a16-fad8-46df-bb36-eb7deeda9758					Aspriation pneumonia	
f7d45e4f-908c-4252-b09b-c536f22f95c2						Community acquired
8f53d2ba-8e54-4632-8269-ed4d518dd159						Hospital acquired
e3b869da-45c2-40a7-806a-49fb4d428d18					Lung abscess	
82911a92-b4cc-4032-9ea3-6d56da04d6d1						SINGLE PRESENTATION
8a91d3d1-08a4-4b95-a0b6-cfc6bdad5da0					Empyema	
970cdcbf-843d-4213-8012-f71bd51a2165						SINGLE PRESENTATION
b4650124-cc3e-4345-9e62-1f7d810f0f96			Gastrointestinal			
d1c0f6ca-a501-4635-9241-aaeded1877be					Gastroenteritis	
