	TREATMENT RECOMMENDATIONS					
uuid	Chapter	Section	Infection	Presentation
40d92304-3224-4af0-8371-bcc27edad7dd		Fungal Infections				
0d66b954-7487-4ef8-830a-6500433d52eb			Non-hair bearing skin	
aa0c82a5-2fd0-4f23-8f68-d3fa0ab76af7				SINGLE PRESENTATION
7d93f938-7ea2-4a9d-a310-923e8165371a			Hair bearing skin	
0a8da94d-4728-4e7d-b16c-d05d7541ff2f				SINGLE PRESENTATION
9b4f0c84-b2c1-4aaf-b164-b617671ab2c9			Tinea capitis (scalp, eyebrows, eyelashes)	
12c7516d-48e5-4e09-ac6a-d1ed4ca2c2ff				SINGLE PRESENTATION
a489db26-0dca-4ed9-9c01-c0cf719ea15a			Tinea barbae (beard moustache)	
7755cb4e-755c-4d70-b3f2-8945e5b09a31				SINGLE PRESENTATION
869129be-c5a5-4f1b-b3cf-3b00c23aa2ea			Tinea versicolor (Pityriasis versicolor)	
6829ef6b-bc31-4f52-a6cf-ea558a022cf8				SINGLE PRESENTATION
1a1ff080-e732-4310-92f4-b32d49731687			Onychomycosis (Tinea unguium)	
1223db44-40bf-441c-86ec-44e735dbdfff				SINGLE PRESENTATION
dadac645-a40e-4d03-88f1-240f923244e0			Sporotrichosis	
1389d430-eed3-41ca-aea7-333cef35420c				lymphocutaneous
a9601efe-865b-43c4-a491-9d6e2d3d39d9				extracutaneous
39c60b77-1f08-464a-84bc-c179f716e0e2			Candida	
8dd8c363-1c6a-4d1f-8f24-71f01456e59f				Vaginal candidiasis
208abd92-d42e-4ab3-8a9f-761ea4307d95				Vaginal candidiasis - Recurrent
fd23d955-a9c3-4c5d-a25f-2e9d2d2b5c37				Oropharyngeal candidiasis
5671d27b-9d44-4c64-bcb6-60c8be496c1b				Candiduria
75e0f37f-f668-4146-a516-aafd52fbccf5				Esophageal candidiasis
2c836c30-f9e5-44ac-b725-694f3aa6ec3a				Invasive candidiasis / Candidemia
05821b63-35bd-481b-b71e-1d10e13ff7a1				Hepatosplenic candidiasis
e95d0834-9034-4ed3-b482-6b65d82204a8			Invasive Aspergillosis	
ff5ededb-ac54-479a-a9b2-abf8e4c65bf2				SINGLE PRESENTATION
5b690d45-9d22-41cf-8a3a-a1e54c381fba			Fungal sinusitis	
e9f0e1d8-1461-4a94-b5af-8bdb27531a84				SINGLE PRESENTATION
40c5866a-eaf0-4972-a724-d206d37d9e0b			Endemic mycoses	
ce8902d3-0415-4a3d-8c21-32b289379477				SINGLE PRESENTATION
