TREATMENT RECOMMENDATIONS						
uuid	Chapter	Section	Category	PathogenGroup	Pathogen (Parasite)	
d1d7ad15-09b3-4baf-87f3-4e7f83ca1dbc		Enteric Parasitic Infections				
d8dde21f-6dad-4338-88b6-0b2f27765d10			HELMINTHS 			
b4ab3ffc-e5c6-44dd-830f-27605a53ec6e				Nematodes		
aa411848-4ecc-451e-b857-2a91f4d3b32b					Ascaris lumbricoides (roundworm)	
d7132917-df98-4ee3-ba3f-220665dcd909					Enterobius vermicularis (pinworm)	
a62870bc-0b7d-4b3b-adeb-8e4dbd88d425					Trichuris trichiura (whipworm)	
22f97001-7342-4eff-9862-1248737be072					Strongyloides stercoralis	
bdad0bcf-17d8-4204-aeae-161c54d19b42					Ancylostoma duodenale, Necator americanus (hookworms)	
742c050e-d02d-4c72-864f-aa2ed8142389				Cestodes (Tapeworms)		
57621e62-34a9-434c-9ceb-e4ce13c8ddf4					Diphyllobothrium latum (fish)	
bae6d8cf-8964-44a3-beb5-d933abbacd9a					Taenia saginata (beef)	
afc12718-edac-460d-80df-065cb325f1a2					Taenia solium (pork)	
5c4d9885-349a-4e96-a0a6-8288c3046ee6					Dipylidium caninum (dog)	
895cd0b2-efe7-4828-a926-9bfe46532c31					Hymenolepis nana (dwarf tapeworm), Hymenolepis diminuta (rats)	
