	PROPHYLAXIS RECOMMENDATIONS						
uuid	Chapter	Table	TableRow	TableCell	TableSection	TableRow	TableCell
76e2f45c-c8c5-45e4-a079-65e1a3908cde	Prophylaxis Recommendations						
aba7ff59-63b6-41a6-afcb-1e5b2683ea9f		Table 1 Pre-Op Antibiotic Administration					
87e37378-d420-44c0-ac25-4d7d55d5749a			(Header)				
0fb5a416-3d68-4f18-8473-b86be4e098e0				Prophylactic Antibiotic Regimens			
835e46fb-7777-4f82-a890-07413579f9e8				Administer on PCU just prior to patient going to the OR			
8176bf02-fff8-403c-bac4-bc273997fd87				Administer in OR by the anesthetist			
1c7c7031-d9aa-442f-a336-709e24ab6f79					<blank>		
0884ad78-ad4f-4b24-8416-94f7f81fcc97						(Data)	
bd818fef-4916-4bf4-a2c8-342cac16a128							Oral antibiotic regimen
08859add-cb23-4096-afab-8c324556d00d					<blank>		
780639c7-7f24-4e33-9af3-71b0dcc6a7ee						(Data)	
d9f9cfb7-2f36-4e44-b141-cfb9c445e98d							Cefazolin
d03d8895-353f-4d20-a4c4-fad155422872					<blank>		
59b83b2e-d73b-40a5-a2bf-5ba50da7bd60						(Data)	
56c050d9-30ce-4435-a5dc-cc812bcfd2e2							Cefuroxime
31ea4981-a858-4570-af47-c6fcf23cac37					<blank>		
331ce49c-5990-4448-b4d7-70a9904fc276						(Data)	
7a28b228-48bb-4afa-ba86-41f957be33f6							Clindamycin
6fb247d5-1acc-433d-8a2a-e1f2b205a0f9					<blank>		
1210ad63-9df7-42a8-889b-8bb8489f1b96						(Data)	
770e8e07-5300-47d1-8b1f-c3e7a8c880b0							Gentamicin
0e3a0a71-0b87-4ef4-affb-96933dfb7dc5					<blank>		
4d4a0384-f8d4-463a-9725-79a6d448e579						(Data)	
bdb3736e-5d3a-4d97-b733-b59f73efe8d6							Vancomycin
460e50ea-f1b0-4a40-b55f-02f6c3df6388					<blank>		
43847253-aae2-48ad-b0ec-f44fd1dbeee7						(Data)	
2b8ed2ed-2bda-4f35-8644-5afd74155c4b							Cefazolin
a43eaef4-44c6-434e-ae2c-dd420a2fab6d							Metronidazole
2b346b64-6690-466e-a602-d46593383770					<blank>		
3b913ba7-2b26-4d3b-af97-9760dd0ccf36						(Data)	
a811e1fb-407c-4082-999f-c6f0d2df1dd4							Gentamicin
30b3e226-c493-4623-848a-5d739187c40f							Clindamycin
d2e3cc34-ef96-4b07-8a69-7c40a0fab69e					<blank>		
e942929b-0841-4612-acde-8ec7ff9f5652						(Data)	
c6e60db9-7d8d-4c75-8e16-4e5bc22898a4							Gentamicin
92f3ca11-105e-4765-aa09-01b3b9227024							Vancomycin
70a86f64-f796-4583-b052-2738cd70f4eb					<blank>		
0d698601-900f-4d62-bd88-e889b248217c						(Data)	
3b6acd48-97a3-4561-a994-d79734a6e5a9							Ampicillin
7b5a8c3b-2ef5-45b2-bc3c-217230c01a94							Gentamicin
c8d4eb66-f1fa-4d20-8ede-e1fa5c6c7419							Metronidazole
eb22dd05-dba8-494e-98d4-7e329d07c124					<blank>		
8ef2f867-37c0-421a-b10b-7ef1867c5e62						(Data)	
75e65091-7127-42b6-a8e9-f4433c99f9a2							Cefazolin
1861dbda-09dc-4e79-baf2-7de7773ed09b							Gentamicin
80f5ca72-0d21-44a7-82d2-44cfa979f8bf							Metronidazole
