	PROPHYLAXIS RECOMMENDATIONS								
uuid	Chapter	Section	Category	SurgeryClassification	SurgeryGroup	Surgery	Pathogen	TherapyGroup	Therapy
76e2f45c-c8c5-45e4-a079-65e1a3908cde	Prophylaxis Recommendations								
da1fcc78-d169-45a8-a391-2b3db6247075		Surgical Prophylaxis							
df9291b7-cd03-427a-a73a-603503d068f4			GENERAL						
5f43318f-048e-4eb5-bbef-09ed1f1126b5				<blank>					
fe119b2a-c0f1-4637-b0f8-5b5c3dd891e2					<blank>				
13e7da0c-1931-4f6f-aa43-1fe43ebe1109						Gastroesophageal endoscopy			
5f625cea-7aa4-47bb-84b1-a453e8dc5146				Gastric Surgery					
a58d7927-9137-423b-90de-833259d92988					<blank>				
000dde86-242f-4ea5-80fb-4869010243ea						Gastroduodenal			
1ac1393c-2386-46bf-a535-b30c2fb14eda						Gastric resection			
7db3e3cb-b7a3-40b2-92bb-9bb01fbd5228						Gastroplasty			
06aba730-5965-4b6e-884d-fb57f5dcbdf7				Biliary tract surgery		Percutaneous endoscopic gastrostomy (PEG)			
12deae51-d621-44d8-95ef-65db6059eba2					High risk				
4f0926ad-c28d-49be-a025-d064d1a1bbda					Low risk				
2a30e227-8b18-4351-8b22-08d269bfcd76				Bowel surgery					
b2a4822f-fe2b-4163-9560-b9ea93ce52e2					Elective colorectal surgery				
6568d96c-5967-4a18-a0a7-6719e8d36d67					<blank>				
ae2d2844-2c4f-4320-af38-bf4d5990a0ed						Appendectomy			
af55077b-b48b-4c69-8d47-740d0d34e230						Emergency bowel surgery			
ae0e5252-6e6a-4e2e-a71a-0e7973962d08						Bowel obstruction			
015fbca9-f759-4255-85ea-ada116bf3abf						Fistulas / Discontinuous bowel segments			
6d5dee7f-479d-4027-b6f4-e294b828c79f					<blank>				
fafd70d1-c3ba-4699-93cb-cd47f9a60877						Perforated viscus			
683654ff-69f3-4b74-9e0c-2eaaa9deaea5				<blank>					
ed1fafe8-479d-4ba8-8a24-6f13cb0a7dc8					<blank>				
4c78492f-110e-44ae-9700-b8e06fc394b4						Herniorrhaphy			
f6ab83ea-3905-4b75-9cfe-96b141ec6d98				<blank>					
133c3623-2fb6-4a14-bf85-d9321b94436a					<blank>				
04c9fc30-c815-487f-9f27-b18bfeeed8f2						Mastectomy / lumpectomy			
ec16a78d-9255-4514-ac12-3639cd834e43			OBSTETRICAL / GYNECOLOGICAL						
1ebbacbb-0536-4fe9-a994-e37c22238efa				<blank>					
cdb437fe-f44e-48b4-9abf-5b6715f38616					<blank>				
8a29f03b-495b-4738-8c2e-de8f03056b37						Abortion			
098417d8-7b10-4de8-b9c3-89b5cba5f4a6				<blank>					
04fd9e13-298f-4406-bdeb-1751148e7f07					<blank>				
62fe91b5-2362-45b2-b9d0-1dbcc0fef0ba						Caesarean section			
81a73073-5029-4d1a-8203-d241b9efd256				<blank>					
6145e8e6-b520-4b39-95d5-001bae13029e					<blank>				
569955ad-4213-42dd-85f6-a7edcdf3fb92						Hysterectomy			
8f230ebd-0d0f-455d-9385-151c77af1f08			UROLOGY						
4741e2c2-2f17-49fa-975b-f4fda0673aad				Retroperitoneal surgery					
c69a51b0-746a-40f7-b80f-6985e728a4f3					<blank>				
da023f21-cd4d-469b-90bd-40d6101f952a						Adrenalectomy			
e6ac4b2a-de41-460a-96dd-2442f3f25139						Nephrectomy			
0c4b3c1d-b66c-498a-bbcf-4b7b69aeb1c7					<blank>				
1adfb9f0-23eb-4d3d-9aec-9ee4a3e82952						Ileal conduit			
f6b30619-df58-4c4b-a49b-f1df52ee4be7				<blank>					
06de803a-5bcd-4404-b358-2bdddc1e0d9f					Urologic procedures				
486ddd24-f273-45b9-aadf-d801b1ab3f0a				<blank>					
5ea1442b-d970-42a2-969d-aa21024ba122					Urethral dilatation				
1909aebf-d0e6-49b9-b556-8ed3c6bc45f4				<blank>					
7e50e46c-b7fe-42d8-910f-1153610d4a39					Vasectomy				
602cb158-4c43-4fac-8298-1332266f3c0b									
a81bf206-2937-454e-89b6-2cc31b0155a0									
17e68eaa-256d-43da-ad16-e9d07542b17d			CARDIAC						
