	PROPHYLAXIS RECOMMENDATIONS						
uuid	Chapter	Section	Table	TableRow	TableCell	TableSection	TableCell
76e2f45c-c8c5-45e4-a079-65e1a3908cde	Prophylaxis Recommendations						
ec9b96ff-8744-4e27-82f6-9608fe22e4b4		Blood / Body Fluid Exposure					
2d36bf1c-a4d8-4d00-916e-cb9a29013361			Table 1 - Significant Blood/Body Fluid Exposure				
9d50e7e2-4e60-45d6-9d75-2429e6ba58f6				(Header)			
d6126a2f-9fd3-47c2-9a38-944d4afee0c7					<blank>		
4c06bc49-f81f-4195-9e4a-68b0fd0c2de9					Contact		
244ccb04-d81f-4602-be19-20eeebb61d20					After Hours		
a2e97873-bdb0-430b-a379-c9f136b8f968			Risk of Infection				
7c06671f-9ec7-4d20-8a2e-2804001f2156			HIV Follow-up Protocol				
efd509a6-750b-4566-b34e-50b2a7cd1212				(Header)			
2e13f86b-221f-4530-a930-ae8bd49ff58e					SOURCE		
6541db86-571b-4476-b732-d744e0bca218					RECIPIENT		
4017bc6d-05fd-45d9-9119-3ab9062a71a5			Hepatitis B Follow-up Protocol				
789e1a83-6c32-4df4-92e6-302dd2bebbbd				(Header)			
cdbca2e4-ff9a-4dba-9e04-0e6dd1d7a258					<blank>		
d4b9d6da-5e85-486e-981d-d94cc57f8acc					Anti-HBs positive		
10339c4e-dd06-470d-a1e1-c5c0ed71038b					Anti-HBs negative, previously positive		
da03fc0c-8c6d-4a15-a916-b428bb359246					Anti-HBs negative (not immunized)		
f5e90d66-549f-4a4e-9b6a-1695b36be841					Anti-HBs negative, immunized (non-responder)		
21bd6f0b-4772-4fd6-91b7-426b6025db33						SOURCE	
4cab3c94-09e0-440d-a39f-71ceb08c1b04			Hepatitis C Follow-up Protocol				
d4255dc3-12a5-40a7-860b-ba2b35263071				(Header)			
e5134a01-f6a3-4aa1-88fa-f3daaa3237a0					SOURCE		
1154e789-5cc9-4dcb-9b13-b77dfb49f2d0					RECIPIENT		
