	PROPHYLAXIS RECOMMENDATIONS						
uuid	Chapter	Section	Topic	Table	TableRow	TableCell	Disease
76e2f45c-c8c5-45e4-a079-65e1a3908cde	Prophylaxis Recommendations						
a6fdd2d3-96df-47b6-a598-8adbfa474c1b		Sexual Assault					
edbd26cc-5224-490c-b12d-41676d1e8fb4			Tests recommended in sexual assault				
ac73d9aa-9f66-452c-be97-26fe40580118				Serology (baseline & follow up)			
b897dc64-1b57-4ac5-8e59-128df5c23f93					(Header)		
daaaaaa7-1a5b-41fe-a8b0-4fd8cefd7af3						Infection	
57eefaca-e95a-4e56-9cc3-6cea3958628b						Baseline	
d463b087-c0c9-407d-b4d8-75f750db95f2						Follow up (weeks)	
47faabca-5042-41dd-a80f-44097e133b72			Prophylaxis - sexual assault				
35f86375-8325-46d9-b0c0-56af66fcacb1							Neisseria gonorrhoeae
30a1854b-623c-4b1a-a812-6f1bcefbdd35							Chlamydia trachomatis
10e21ee6-bd47-4d33-933f-866b97bf5fcb							Hepatitis B
bb3c0590-3f30-4934-830e-ff187535c4f6							HIV
