	PROPHYLAXIS RECOMMENDATIONS						
uuid	Chapter	Section	Topic	Table	TableRow	TableCell	
76e2f45c-c8c5-45e4-a079-65e1a3908cde	Prophylaxis Recommendations						
63a99294-dc8a-4ae3-be63-24b8eb7c578d		Immunization Recommendations					
4305cfd7-0422-402f-8cf0-966fba338f8f			Table 1. Routine Immunization Programs for Infants and Children in Canada (as of December 2005)				
b15a9b22-e466-49de-b669-7cc3a5157e1a				<blank>			
9f43f6c0-f515-4851-96d0-c6da077a7b55					(Header)		
c7534265-698f-471a-9e6b-70b25b6e8b00						Province/Territory	
615ab921-9725-48fe-9d29-d12ec12e67d5						"DaPT/IPV/Hib (2,4,6,18 mo)"	
ab77d02a-2e37-4d07-9c66-8e09d726d6e6						Hepatitis B	
a9f7dc12-1024-461b-80b7-24126bc3859d						MMR (2 doses)	
e5cf8e18-1c4d-4d1b-86fb-6861b9f4812f						DaPT/IPB (4-6 yrs)	
4d5fe47e-789a-41e1-8728-5df6b8698307						dTap	
590e6a95-3018-4792-bcca-b0b7851c1350						Varicella	
f85d23de-926c-4e59-ba28-03125591192e						Meningococcal conjugate	
e4f7ec70-c889-4fee-8f4f-fcd8d73a8c1d						Pneumococcal conjugate	
70de3d86-474f-419f-a77d-1269167a776d						Influenza	
