	PROPHYLAXIS RECOMMENDATIONS						
uuid	Chapter	Section	Topic	Table	TableRow	TableCell	
76e2f45c-c8c5-45e4-a079-65e1a3908cde	Prophylaxis Recommendations						
63a99294-dc8a-4ae3-be63-24b8eb7c578d		Immunization Recommendations					
becc8b08-e2f4-44c4-8c41-ba14ef5a6ce1			Table 2.  Vaccines Recommended for High Risk Patients				
7ff1c6e8-2fcd-4f37-ad6b-21c81d07d675				<blank>			
86ef556e-8884-414a-bf0b-b186dd037ca2					(Header)		
8df6fdda-c6e7-4ab9-809c-d2b1c54c1768						Indications	
41222ccc-c4cb-4d88-84c2-8f333fc76b3b						Hep A	
0a058cef-63be-47de-8aa6-b6fc6138302c						Hep B	
d8377e9d-5eb8-481d-9cb8-b5d5d0c6610b						Meningococcal	
c2a9b86b-27d0-42c8-ac9e-c3468cfa687b						Pneumococcal	
ee62b26a-f715-4195-b0e0-0823fc85d4cc						Hib	
4737bc32-395f-434e-a824-6ad416248687						Influenza	
1ebd31bd-f19a-444c-a41c-13ba763faff6						Varicella	
