	PROPHYLAXIS RECOMMENDATIONS						
uuid	Chapter	Section	Topic	Table			
76e2f45c-c8c5-45e4-a079-65e1a3908cde	Prophylaxis Recommendations						
63a99294-dc8a-4ae3-be63-24b8eb7c578d		Immunization Recommendations					
c6f1c15e-7014-44c4-a840-6c011da0a440			Table 3.  Pneumococcal Polysaccharaide Vaccine				
405275b0-5989-497e-bffc-fafd15c425d8			Table 4.  Pneumococcal Conjugate Vaccine				
05910286-e5bf-4952-9cbd-69b930fcd4e5			Table 5.  Meningococcal C Conjugate Vaccine				
2861623a-65b5-45cf-91a1-7e1ed11e98e4			Table 6.  Meningococcal Polysaccharaide Quadrivalent (A, C, Y, W135) Vaccine				
3c8c86fe-d567-4f5c-a67c-d0577f1e94bf			Table 7.  Influenza Vaccine				
54282317-2be4-4c54-a4bc-f7878a4ed726			Table 8.  Hepatitis A Vaccine				
3ffee398-9243-47ff-baae-01fbe7e739b6			Table 9.  Varicella Vaccine				
