	PROPHYLAXIS RECOMMENDATIONS						
uuid	Chapter	Section	Category	Disease	Table		
76e2f45c-c8c5-45e4-a079-65e1a3908cde	Prophylaxis Recommendations						
5e5fe9f4-1e8f-4de4-a1d6-33c3fac379fa		Prophylaxis for Contacts of Communicable Diseases					
d51cbf50-01dd-43e3-844a-dedb851f415a			INVASIVE DISEASE				
2a52c687-4fc6-4df8-bcc8-cdf38e678c52				Neisseria meningidigitis			
3a5c4685-aa62-4235-a545-c919815a75e0				Haemophilus influenzae			
d2b46ef0-16a8-4217-b5c3-ca80531ab8b5				Group A Streptococcal (GAS) Disease			
35879474-3d20-457d-9094-32cc46b838fc				PERTUSSIS (Whooping Cough)			
4f404889-bdf5-450d-b64e-a2e18bddda98				VARICELLA ZOSTER			
4b476e8b-fa56-4d1a-b0c8-5fb29f820b6f				INFLUENZA			
