	PROPHYLAXIS RECOMMENDATIONS					
uuid	Chapter	Section	Microorganism Group	Microorganixm	Precaution	
76e2f45c-c8c5-45e4-a079-65e1a3908cde	Prophylaxis Recommendations					
da54b83e-2bdc-471e-af12-2eba55507849		Infection Prevention and Control				
33502cb1-d543-44ee-b92d-dfb380f75f70			Colonization and/or infection with:			
04746f04-e377-4ad8-a7fd-de7bd4473d67				Methicillin-resistant Staphylococcus aureus (MRSA)		
ef9b81c0-925e-4c16-953f-4d24672bf1c9				Vancomycin - intermediate or resistant Staphylococcus aureus (VISA/VRSA)		
edde774e-11bc-4d9e-a132-fac9be678522			Colonization and/or infection with:			
41b9e5b2-0930-4fe5-a587-7884e9d0f19d				Vancomycin - resistant Enterococci (VRE)		
ce2d8d31-5bc9-49cf-9053-db6e541fe4ee			Colonization and/or infection with:			
d3505613-de2d-4960-8483-04b30d127580				Extended-specturm B-lactamases (ESBL)		
eb917113-8bc3-4ee8-813b-1e8ecd32569a			Infection with:			
56254166-20a2-4933-960b-737d78a34df9				Clostridium difficile associated diarrhea (CDAD)		
