	DENTAL							
uuid	Chapter	Section	Category	Topic	Subtopic			
cddcc760-d8f2-460f-8982-668f98b5404b	Dental							
53a7dbfe-b7bf-4677-b3e3-e306f56f4221		Antimicrobial Prophylaxis in Dentistry						
e8b0f0e5-b8c1-4d6c-9191-a5b2f32f0c17			Table 1.  PROPHYLAXIS OF BACTERIAL ENDOCARDITIS: CARDIAC CONDITIONS & DENTAL PROCEDURES					
6fa941eb-4ce6-4415-961e-54c219b4fc8d				ENDOCARDITIS PROPHYLAXIS RECOMMENDED				
0def8720-2669-412b-8741-d463d93f5382					Cardiac Conditions			
8e637498-d084-470d-a227-0117bfde4fe8					Dental/Oral Procedures			
f1aee4a7-32a8-4de1-8b5c-06b54a18e0b5				ENDOCARDITIS PROPHYLAXIS NOT RECOMMENDED				
e4e50f52-1d13-4811-84f7-a6996ce17579					Cardiac Conditions			
fd52241d-d546-45e0-a95a-7e2246400c21					Dental/Oral Procedures			
