	DENTAL							
uuid	Chapter	Section	Table	TableRow	TableCell	TableSection	TableRow	TableCell
cddcc760-d8f2-460f-8982-668f98b5404b	Dental							
53a7dbfe-b7bf-4677-b3e3-e306f56f4221		Antimicrobial Prophylaxis in Dentistry						
0f1b9bf1-bb12-4f17-a0b3-b14f6f9ed13d			Table 1a. PROPHYLAXIS OF BACTERIAL ENDOCARDITIS: RECOMMENDED ANTIBIOTIC REGIMENS					
15f204e9-4b2a-45d4-96d4-e817395a0e42				(Header)				
1e84f330-8a78-4820-8782-87a32b9df414					SITUATION			
edc33f0e-575a-485a-8b2e-71b4caf6ef5a					DRUG			
5cfd25ca-47b5-41d7-9576-28279e36067e					ADULT DOSE/ROUTE/DURATION			
284b9a90-1313-4b4e-a516-3b6f07baecd8					PAEDIATRIC DOSE/ROUTE/DURATION			
319bee56-cace-47ae-99a2-2ce982f00bd4						Dental and Oral Procedures		
a0522812-978c-4105-b062-954f636bc731							(Data)	
90ae9428-a37a-4e0c-a014-f165b9b099b3								Standard
ef4c0140-b0ed-458b-91c2-4077a17ba8c2							(Data)	
c64714b9-f0d2-428b-a293-2bb3525a2bb7								No oral intake
35f86375-8325-46d9-b0c0-56af66fcacb1							(Data)	
30a1854b-623c-4b1a-a812-6f1bcefbdd35								Pen-allergic
10e21ee6-bd47-4d33-933f-866b97bf5fcb							(Data)	
60099bf8-21da-44bc-a4c3-bbc6193c7ad1								"Pen-allergic, no oral intake"
