	DENTAL							
uuid	Chapter	Section	Category	Subcategory	Surgery	SurgeryClassification	TherapyGroup	Therapy
cddcc760-d8f2-460f-8982-668f98b5404b	Dental							
53a7dbfe-b7bf-4677-b3e3-e306f56f4221		Antimicrobial Prophylaxis in Dentistry						
c03c407d-eeb1-4ec6-959a-5a913a90e279			Table 3.  RECOMMENDED DRUG REGIMENS FOR SURGICAL PROPHYLAXIS IN DENTISTRY					
bc1f497d-451c-418a-9345-8427c25cd8a1				Adult				
7eadacd4-496d-415c-9fed-c7aba0ccafeb					DENTOALVEOLAR SURGERY (tooth extraction, cystectomies, alevoplasty, apical surgery)			
58e7b2d4-edf3-4e76-8032-049b07dcaa7b					ENDOSSEOUS IMPLANTS			
d619ffd1-0ea2-445d-80ef-a3cdcb6fca28					PERIDONTAL SURGERY			
7cd65620-8a98-4d3a-9b90-eed630dde97f					ENDODONTICS			
f18004b6-24c5-4953-ad3e-3f1b7348ef52					MAXILLOFACIAL SURGERY			
b374066a-9eb6-4805-a5c7-8e5da43837c4					FACIAL TRAUMA			
810bea8f-37f8-4eee-9fa2-970f701b2cde					ORTHODONTICS			
ac520b62-84c7-458b-8ef1-3705047b81b1				Paediatric				
5767f6de-c642-4b8e-b983-ba5f18712711					DENTOALVEOLAR SURGERY (tooth extraction, cystectomies, alevoplasty, apical surgery)			
39d5c31f-fcd5-42b0-88d1-33d65b302d77					ENDOSSEOUS IMPLANTS			
3cc12afb-25e3-47b1-8c38-e23b7b19f6f1					PERIDONTAL SURGERY			
35f86375-8325-46d9-b0c0-56af66fcacb1					ENDODONTICS			
30a1854b-623c-4b1a-a812-6f1bcefbdd35					MAXILLOFACIAL SURGERY			
10e21ee6-bd47-4d33-933f-866b97bf5fcb					FACIAL TRAUMA			
60099bf8-21da-44bc-a4c3-bbc6193c7ad1					ORTHODONTICS			
