	DENTAL						
uuid	Chapter	Section	Table	TableRow	TableCell	TableRow	TableCell
cddcc760-d8f2-460f-8982-668f98b5404b	Dental						
433cd21b-87f7-4012-9cf9-502279b07edc		Recommended Empirical Therapy in Selected Dental Infections					
3cefea17-58ba-4c8b-93e8-fea03f64f673			Table 1.  SPECTRUM OF ACTIVITY OF ANTIMOCROBIAL AGENTS AGAINST SELECTED ORAL MICROORGANISMS				
75da37ea-82d1-42b2-8f31-9159cafd88f4				(Header)			
ca01e403-f8c6-46fe-b435-d10d3535389c					<blank>		
cfde7569-66ca-4f28-b652-c436a93e5bb1					Viridans Group Streptococci		
d7a21e79-9a60-4450-96c9-0cdc1e92a9fd					Anaerobic Gram negative bacilli		
83fc6161-376a-47cf-a1d5-d96e046a2431					Actinobacillus spp		
b2b71a34-d6bb-4578-8b23-6e3a05bc0e64					Capnocytophaga spp		
2b45e25e-0bb2-4194-8d85-bf8658bd8ee6					Eikenella corrodens		
700cd0c6-d274-453c-8782-9a83d86f90fc					Actinomyces spp		
e7fbac3a-f6d9-4157-adbb-905297c4c8cf					Comments		
64793078-6959-4513-89f8-1789b2e773d9						(Data)	
21bc61dd-e65e-47cd-9de3-1545b5191bc9							Penicillin
f41b7d60-e3d1-46ff-ba3d-3811e2c28dd5						(Data)	
0a1cb6b8-49b2-4d78-9324-45a05b2f65c9							Amoxicillin
03f2c582-fd1f-4c48-8f6f-060ebe2904a4						(Data)	
254b2344-5b5b-49cb-a3e7-a463fcc2dccc							Amoxicillin - clavulanate
e50a40a9-020a-4f2e-8d8f-d7bcb22920c9						(Data)	
62684bb7-0e12-47b9-9542-2ad4f4c04243							Oral Cephalosporins
f9058bed-1e24-4863-a972-606ee07f6b1c						(Data)	
1c2f00d7-3ac8-4b3f-aa0c-95858765a938							Erythromycin
3ecbf4f9-e2cc-4750-9e92-30909cd532fe						(Data)	
5804aab0-db5d-4074-9321-d3e22e8339d2							Azithromycin / Clarithromycin
9e210e84-b86f-48a5-bee7-6d523a2024d6						(Data)	
b9918892-3d04-40e3-a64b-919200ad581f							Ciprofloxacin / Levofloxacin
c73bbba9-a0ff-4f0a-af48-7dac05bd7b0f						(Data)	
4f6e54dc-e387-4ee1-be98-7d1bf7f8205a							Clindamycin
e1849661-67c7-403c-8ebc-270e288e2a26						(Data)	
945d8f1d-711e-4de0-b158-5151f0d2ccdc							Metronidazole
78f0b8bd-b181-43da-9050-966deff19196						(Data)	
5a71ccac-f369-4683-a478-2e9269816b28							Doxycycline / Tetracycline
