	DENTAL			
uuid	Chapter	Section	Category	Subcategory
cddcc760-d8f2-460f-8982-668f98b5404b	Dental			
433cd21b-87f7-4012-9cf9-502279b07edc		Recommended Empirical Therapy in Selected Dental Infections		
0f3deecb-2b68-402c-90a3-8a218f71f38b			Table 2.  MICROORGANISMS ASSOCIATED WITH DENTAL INFECTIONS	
f71ff57f-3cda-47ab-b1de-b88bba2a886c				Aerobic Gram Positive Cocci
1ab22de4-b0a9-45d8-9f6a-bf6304cdf71f				Aerobic Gram Positive Bacilli
643d7871-9f12-4c0d-8f69-d20beb0ee318				Aerobic Gram Negative Coccobacilli
1a83a413-e2cf-4f4c-aee2-f2100c70a5d6				Anaerobic Gram Positive
2b2e3e8a-1243-4ce7-a344-25b70a343c9f				Anaerobic Gram Negative Bacilli
88e6e841-b844-47ac-a905-e0749dd00f98				Spirochetes
