	DENTAL				
uuid	Chapter	Section	Category	Disease	Presentation
cddcc760-d8f2-460f-8982-668f98b5404b	Dental				
433cd21b-87f7-4012-9cf9-502279b07edc		Recommended Empirical Therapy in Selected Dental Infections			
a6874e73-7f2c-4f29-8e24-d0d2bb57b8a6			Odontogenic		
45ec58a5-5e20-4cc9-bd22-5b6c5bd7cb1b				Root caries	
0d4c36e3-1751-4589-9c08-f315c8fbab5d					High-risk patients
245b573c-a9cc-4896-9568-5ab77c7e15ef				Endodontic	
83233636-3ce7-4453-9a08-e7928dfcb27d					"Abscesses (dentoalveolar, periapical)"
317e8604-7dfb-4bb0-a95c-725da187a24d					Dry socket (fibrinolytic alveolitis)
e1bb6301-0ab0-47ae-a15d-6607897aac84			Periodontal		
02951d7e-4c59-4387-8947-9658e21eb9c3				Gingivitis	
bddea768-7357-46d0-aee8-43cd5ee09ba1					Acute - Herpes Simplex I
bbf39e71-4242-44e8-88ff-548e22cd5069					Chronic
c4c47bd4-0796-440b-9780-df354366e45e				"Acute necrotizing ulcerative gingivitis (ANUG or ""trench mouth"")"	
ac3e5709-54fe-447c-8c54-010382a9fce1					<blank>
60f3b93a-4487-4cd9-8a44-f41fbab21b96				Pericoronitis	
650cda34-f55a-4341-ac8e-b92f77ba2954					General
0f1b703e-2bdf-446e-87e5-65e091c75da8					Early onset (< 35 years)
7bc66f70-3aaa-4462-ae63-1decf40b5b31					Adult - Chronic
dd66d145-c2cd-436f-987f-efe9f705b114					Adult - Refractory
1ffee987-4a4a-4fa4-9eb2-78890a940586				Periodontal abscess	
0e24ffec-c631-4ed9-94b3-1a2de824ed9e					<blank>
69b35b28-05ec-4dd3-9d21-d9c77dd82dbc				Post-operative peri-implantitis	
011cfcec-f0ba-45e8-9c55-93467c39c14a					<blank>
030842eb-f3cd-4679-ae60-deac35161bca			Oral		
f65b6f83-c76a-43ee-b06e-29cb430fd797				Fascial space infections	
761307a0-fcca-4886-9f12-37b00d72aef2					<blank>
