	PREGNANCY / LACTATION					
uuid	Chapter	Section	Category	Subcategory	Antimicrobial	BDAntimicrobialRisk
690c044e-72c4-4115-b90e-33c9807dfe50	Pregnancy / Lactation					
edabb4e6-3c1b-49b3-b6eb-8828e6516955		Antimicrobials in Pregnancy				
ea10c501-ab98-492a-8c02-efcc70fad9a1			ANTIBACTERIAL AGENTS			
11088b36-221f-422c-94eb-b38401394ca2				B-Lactams		
45f766c9-7167-428d-ae98-7ec63143943d					Penicillins	
c95f1e94-cc28-4187-8685-add489fd14e3					Penicillins & BLI	
8cb907d3-d8e6-4307-84a7-2ee97fd43c2a					Cephalosporins	
ccb52e72-7495-4bc7-b544-828df61dd413					Ertapenem	
40685c9b-b4cb-4544-a38d-b7f96374fc8f					Imipenim	
562e130f-699c-4091-9f0d-b73a615cbbbc					Meropenem	
908f153d-bfdd-43a8-a1da-1f2c65e39f31				Aminoglycosides		
e4d419f5-9d1d-46b7-981f-e63be733f1c6					Amikacin	
d989c39f-37a4-4e96-b42a-2810072e0ced					Gentamicin	
014d3f26-05ad-47b9-b7bb-ce0b5c7383b9					Tobramycin	
cc7cbab7-8a48-44dd-b5cb-411daa581559					Streptomycin	
feab3eff-5a31-4c0b-b3c6-db4cbed8799f				Macolides		
dae0f248-9933-4e44-a885-f7539875a141					Azithromycin	
4a01eca5-6263-436d-90e4-584ee915cbc8					Clarithromycin	
6f6724d7-334f-489d-98d2-b3521ccdc2d8					Erythromycin	
3b16f77e-c826-489f-8deb-1964661a9b68				Quinolones		
372227a8-bbcd-4a0f-b5fe-90ecbaa3f1f3					Ciprofloxacin	
04d7a98a-d186-4edd-aab6-365c65ad1319					Norafloxacin	
6bf759aa-1c45-45cc-b0a1-1be4d7c6be7a					Ofloxacin	
8a50c59b-f688-44ab-b6fc-f5701c6d3ad1					Gatifloxacin	
e6191997-31d7-4138-9a7c-01880f1ef9c2					Levofloxacin	
4ef15d1f-165e-476e-9e17-33c7310cbf8e					Moxifloxacin	
86375da7-b962-4786-9c74-e3310701a617				Others		
1fbe2040-14c0-4cd3-9f52-0dd8884cc7e1					Cholramphenicol	
8e691740-1ef0-49b5-ad0b-d9626e16a1c0					Clindamycin	
4fba1a50-7099-4eb3-906c-06088e0d7b09					Linezolid	
24bea9a6-bc32-4e93-a209-bad335130e04					Metronidazole	
fcd11462-3c3f-425f-a803-97d51b897b36					Nitrofuratoin	
6010ce89-8879-4cf6-a169-4bf463114190					Sulfonamides	
08aaabcb-bb05-4f80-ae68-9b41d5ab4eaa					Tetracyclines	
929c6357-9027-420f-8141-795d77fd888f					Trimethoprim	
fe6d7848-b185-427a-b57a-ff27e94029c3					Vancomycin	
c20cf966-745b-41bb-b70b-496f442a4e74			ANTIFUNGAL AGENTS			
507ebc80-b039-4196-bedf-a1c99d48e88a					Amphotericin B	
0c0820ab-e585-4a2a-99ff-445453aac10a					Caspofungin	
7dd88678-85e8-448c-9697-e66e50bc51bf					Fluconazole	
7fbeb798-5ef5-496a-ba4d-4f9d585f7016					Flucytosine	
ee37ad0e-9192-41e6-8a94-2e68fa11d789					Itraconazole	
934274e5-de84-4054-a0e6-8d0e167da4df					Ketoconazole	
a6d840f9-e41f-48ae-aace-e48319613ecb					Terbinafine	
0c9484af-9a0e-4624-9f24-b18508559b6d					Voriconazole	
24282b22-ab99-4f99-84fe-571443fb4489				Vaginal Products		
8f817480-d234-4c8d-bd2d-0bb695174298					Clotrimazole	
ad33f9fe-e494-4fd9-a067-6aacb9b0dc62					Miconazole	
645a96bd-9943-4b8b-9b99-52b044d1f22b					Nystatin	
77722032-ee79-44ff-bd34-528ebb712265					Terconazole	
6a06c4b9-b8dc-4e1f-a42a-db5c511d36f0			ANTIPARASITIC AGENTS			
81c764fd-6121-468a-82b5-895ea809ac0f					Atovaquone ± proguanil	
f998c03a-b7b0-4c9b-ae38-5d0f9412a3b2					Chloroquine	
e44c5ead-4afe-4a15-aeab-e5d9ce47e023					Mebendazole	
12d95c93-b63d-44b9-a6e7-728a81463eba					Mefloquine	
6749934a-0e78-4889-b5ae-139a07976fba					Petamidine	
09b09a99-b25e-4ee9-bcfd-804c00624041					Praziquantel	
8912da5b-be34-4a2e-a097-bb8ce4f63878					Primaquine	
15016cbe-3463-4a29-afdb-b507c3bbc80e					Pyrimethamine	
0cb04abe-04a7-4d19-9570-f3e831d11010					Quinine	
cdb7d3f4-e53f-44cd-9f1b-2fc7b1d45ec4			ANTIMYCOBACTERIAL AGENTS			
5e4f9bf5-4e0a-49cf-9269-fb85497a36de					Dapsone	
5a11b6ee-8bbd-4b36-b8a8-080613d87d15					Ethambutol	
bed37ce6-fd6c-4300-b615-c5e85ddd50af					Isoniazid	
aaf5c675-d758-4a4d-af93-02ceaa255b04					Pyrazinamide	
a0b05dfb-3919-4b5e-80a7-3dac963173a9					Rifamin	
8550a537-ea5d-4598-a1c9-e69222a3a382					Streptomycin	
a5f1d963-893d-4b99-89d0-5d8be5db7385			ANTIVIRAL AGENTS			
59000dad-ee82-4bb5-ad9c-021d60b06396					Acyclovir	
62e38870-3dc1-4adb-9d13-1e1cd8b82d8c					Amantadine	
aa290530-3e37-4691-821b-322c0b59a4fb					Famciclovir	
91050bd7-fe6c-4b9f-bedd-8e93ee34df51					Foscarnet	
a8aee82e-45f5-4de8-8280-125ab6d150ea					Ganciclovir	
b43d77ad-b71c-4fcf-a002-202b08064c20					Oseltamivir	
9a800592-0074-4c93-9ac6-121f115391f7					Valacyclovir	
861a25bd-2104-4078-830a-be8d8b560754					Zanamivir	
